entity_id,month,gst_turnover_declared,gst_filed_on_time,bank_inflows,upi_txn_count,epfo_employee_count,energy_units
IT_SERVICES,-23,2780545.28,1,2257035.4,1516,30,7003.0
IT_SERVICES,-22,3233594.84,1,2415647.47,1428,29,7636.5
IT_SERVICES,-21,2914720.45,1,2161746.32,1419,29,7161.9
IT_SERVICES,-20,3052218.07,1,2375061.39,1447,30,7171.8
IT_SERVICES,-19,3260447.49,1,2306298.21,1556,31,6840.6
IT_SERVICES,-18,3219836.78,1,2554339.53,1501,31,7705.7
IT_SERVICES,-17,3134917.78,1,2283181.44,1520,31,8085.4
IT_SERVICES,-16,3144748.54,1,2622487.15,1506,30,7832.8
IT_SERVICES,-15,3427293.65,1,3031556.94,1420,29,8352.6
IT_SERVICES,-14,3200054.73,1,2544916.25,1291,29,8311.7
IT_SERVICES,-13,3406627.92,1,2426287.69,1487,30,7493.4
IT_SERVICES,-12,3089371.38,0,2508278.12,1523,31,7005.7
IT_SERVICES,-11,2838370.0,1,2323721.15,1487,31,6776.7
IT_SERVICES,-10,3315646.9,1,2622374.77,1585,31,7971.0
IT_SERVICES,-9,2863144.19,1,2258157.32,1441,30,6811.3
IT_SERVICES,-8,2880459.09,1,2186346.94,1419,29,7371.0
IT_SERVICES,-7,2528342.95,1,2181687.43,1486,29,6622.6
IT_SERVICES,-6,3112137.69,1,2637944.48,1552,30,7559.5
IT_SERVICES,-5,3261657.29,1,2731277.39,1374,31,7394.4
IT_SERVICES,-4,3486936.54,0,2619608.6,1620,31,7766.4
IT_SERVICES,-3,3758980.59,1,2918789.7,1395,31,8244.8
IT_SERVICES,-2,3459449.16,1,2663820.84,1362,29,7750.9
IT_SERVICES,-1,2801392.51,1,2353674.13,1302,29,7285.4
IT_SERVICES,0,2685680.67,0,2384901.57,1543,29,6757.3
AUTO_COMPONENTS,-23,10012462.79,1,3702936.72,1269,38,11922.0
AUTO_COMPONENTS,-22,10774207.68,1,3965259.05,1237,38,13320.7
AUTO_COMPONENTS,-21,10154776.14,1,4063942.96,1315,38,11987.0
AUTO_COMPONENTS,-20,10440534.66,1,3891196.6,1304,38,12288.6
AUTO_COMPONENTS,-19,10500956.05,0,3706679.47,1316,38,11151.8
AUTO_COMPONENTS,-18,10358650.87,1,3950318.31,1158,38,12299.1
